INDEX,NAME,HEX_BYTES,ROW0,ROW1,ROW2,ROW3,ROW4,ROW5,ROW6,ROW7
0,A,18 24 42 42 7E 42 42 00,...##...,..#..#..,.#....#.,.#....#.,.######.,.#....#.,.#....#.,........
1,B,7C 42 42 7C 42 42 7C 00,.#####..,.#....#.,.#....#.,.#####..,.#....#.,.#....#.,.#####..,........
2,C,3C 42 40 40 40 42 3C 00,..####..,.#....#.,.#......,.#......,.#......,.#....#.,..####..,........
3,D,78 44 42 42 42 44 78 00,.####...,.#...#..,.#....#.,.#....#.,.#....#.,.#...#..,.####...,........
4,E,7E 40 40 7C 40 40 7E 00,.######.,.#......,.#......,.#####..,.#......,.#......,.######.,........
5,F,7E 40 40 7C 40 40 40 00,.######.,.#......,.#......,.#####..,.#......,.#......,.#......,........
6,G,3C 42 40 4E 42 42 3C 00,..####..,.#....#.,.#......,.#..###.,.#....#.,.#....#.,..####..,........
7,H,42 42 42 7E 42 42 42 00,.#....#.,.#....#.,.#....#.,.######.,.#....#.,.#....#.,.#....#.,........
8,I,3E 08 08 08 08 08 3E 00,..#####.,....#...,....#...,....#...,....#...,....#...,..#####.,........
9,J,02 02 02 02 42 42 3C 00,......#.,......#.,......#.,......#.,.#....#.,.#....#.,..####..,........
10,K,42 44 48 70 48 44 42 00,.#....#.,.#...#..,.#..#...,.###....,.#..#...,.#...#..,.#....#.,........
11,L,40 40 40 40 40 40 7E 00,.#......,.#......,.#......,.#......,.#......,.#......,.######.,........
12,M,42 66 5A 5A 42 42 42 00,.#....#.,.##..##.,.#.##.#.,.#.##.#.,.#....#.,.#....#.,.#....#.,........
13,N,42 62 52 4A 46 42 42 00,.#....#.,.##...#.,.#.#..#.,.#..#.#.,.#...##.,.#....#.,.#....#.,........
14,O,3C 42 42 42 42 42 3C 00,..####..,.#....#.,.#....#.,.#....#.,.#....#.,.#....#.,..####..,........
15,P,7C 42 42 7C 40 40 40 00,.#####..,.#....#.,.#....#.,.#####..,.#......,.#......,.#......,........
16,Q,3C 42 42 42 4A 44 3A 00,..####..,.#....#.,.#....#.,.#....#.,.#..#.#.,.#...#..,..###.#.,........
17,R,7C 42 42 7C 48 44 42 00,.#####..,.#....#.,.#....#.,.#####..,.#..#...,.#...#..,.#....#.,........
18,S,3C 42 40 3C 02 42 3C 00,..####..,.#....#.,.#......,..####..,......#.,.#....#.,..####..,........
19,T,7F 08 08 08 08 08 08 00,.#######,....#...,....#...,....#...,....#...,....#...,....#...,........
